name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
NORTHFIELD_O_Minnesota_Southern,oil,bus_518942,8.71,0.0293,3.41,8,26.130000000000003,609.7,8.71,1,1
CANNONFALLS_NG_Minnesota_Southern,ngcc,bus_518942,408.0,6.5999982595,127.14,3,1224.0,28560.0,408.0,4,4
SPRINGVALLEY_O_Minnesota_Southern,oil,bus_518942,1.78,0.4721112440191388,0.48,8,5.34,124.6,1.78,1,1
SAINTCLOUD_NG_Minnesota_Southern,ngcc,bus_518942,72.0,4.669904305,24.9,3,216.0,5040.0,72.0,4,4
ATWATER_O_Minnesota_Southern,oil,bus_518942,12.0,0.063,4.61,8,36.0,840.0,12.0,1,1
WILLMAR_NG_Minnesota_Southern,ngcc,bus_518942,8.0,4.621582031,2.51,3,24.0,560.0,8.0,4,4
SHAKOPEE_NG_Minnesota_Southern,ngcc,bus_518942,332.6,6.3432448525,109.09,3,997.8,23282.0,332.6,4,4
ELKRIVER_NG_Minnesota_Southern,ngcc,bus_518942,191.3,6.461785142,65.45,3,573.9000000000001,13391.0,191.3,4,4
NEWULM_NG_Minnesota_Southern,ngcc,bus_518942,27.0,4.6225963986666665,6.459999999999999,3,81.0,1890.0,27.0,4,4
SAINTBONIFACIUS_O_Minnesota_Southern,oil,bus_518942,61.2,1.7495,17.52,8,183.6,4284.0,61.2,1,1
SAINTPAUL_NG_Minnesota_Southern,ngcc,bus_518942,324.8,6.118115444500001,75.2,3,974.4,22736.0,324.8,4,4
HUTCHINSON_NG_Minnesota_Southern,ngcc,bus_518942,125.82,4.6565539386250006,39.14,3,377.46,8807.4,125.82,4,4
BAYPORT_C_Minnesota_Southern,coal,bus_518942,598.4,23.28209765,124.13,4,1795.1999999999998,41888.0,197.472,12,12
BLUEEARTH_O_Minnesota_Southern,oil,bus_518942,8.100000000000001,0.4721112440191388,3.18,8,24.300000000000004,567.0000000000001,8.100000000000001,1,1
FARIBAULT_NG_Minnesota_Southern,ngcc,bus_518942,334.5,6.4252471415,123.41,3,1003.5,23415.0,334.5,4,4
LAKEVILLE_O_Minnesota_Southern,oil,bus_518942,8.8,0.2165,1.35,8,26.4,616.0,8.8,1,1
INVERGROVEHEIGHTS_NG_Minnesota_Southern,ngcc,bus_518942,280.8,4.859124235666666,80.00999999999999,3,842.4000000000001,19656.0,280.8,4,4
SAINTPAUL_C_Minnesota_Southern,coal,bus_518942,276.8,11.130731756117966,85.75,4,830.4000000000001,19376.0,91.344,12,12
GLENCOE_O_Minnesota_Southern,oil,bus_518942,39.48,0.199,13.47,8,118.44,2763.6,39.48,1,1
SHAKOPEE_O_Minnesota_Southern,oil,bus_518942,228.4,1.2614,59.67,8,685.2,15988.0,228.4,1,1
BECKER_C_Minnesota_Southern,coal,bus_518942,2469.3,20.414205356666667,704.3299999999999,4,7407.900000000001,172851.0,814.8690000000001,12,12
ELKRIVER_O_Minnesota_Southern,oil,bus_518942,9.0,0.0645,2.6,8,27.0,630.0,9.0,1,1
COTTAGEGROVE_NG_Minnesota_Southern,ngcc,bus_518942,283.5,5.9788251255,87.1,3,850.5,19845.0,283.5,4,4
LANESBORO_O_Minnesota_Southern,oil,bus_518942,5.0,0.011375,1.9,8,15.0,350.0,5.0,1,1
NEWULM_O_Minnesota_Southern,oil,bus_518942,51.5,0.7515000000000001,15.759999999999998,8,154.5,3605.0,51.5,1,1
RENVILLE_C_Minnesota_Southern,coal,bus_518942,7.5,8.089663761,2.16,4,22.5,525.0,2.475,12,12
CHASKA_NG_Minnesota_Southern,ngcc,bus_518942,51.400000000000006,1.61600655,12.45,3,154.20000000000002,3598.0000000000005,51.400000000000006,4,4
DELANO_O_Minnesota_Southern,oil,bus_518942,21.72,0.1000833333333333,5.55,8,65.16,1520.4,21.72,1,1
NEWPRAGUE_NG_Minnesota_Southern,ngcc,bus_518942,16.9,4.5904087904,5.1,3,50.7,1183.0,16.9,4,4
LANSING_C_Iowa,coal,bus_518942,274.5,15.50864267,122.01,4,823.5,19215.0,90.585,12,12
ALGONA_O_Iowa,oil,bus_518942,8.04,0.119,2.5700000000000003,8,24.12,562.8,8.04,1,1
LAKEMILLS_O_Iowa,oil,bus_518942,18.5,0.1136,6.6,8,55.5,1295.0,18.5,1,1
WESTBEND_O_Iowa,oil,bus_518942,7.82,0.0386,2.37,8,23.46,547.4,7.82,1,1
FORESTCITY_O_Iowa,oil,bus_518942,22.020000000000003,0.0959166666666666,4.51,8,66.06,1541.4000000000003,22.020000000000003,1,1
MIDLAND_O_Michigan_Northern,oil,bus_395632,5.2,0.127,0.77,8,15.6,364.0,5.2,1,1
VESTABURG_O_Michigan_Northern,oil,bus_395632,7.0,0.066,1.93,8,21.0,490.0,7.0,1,1
VESTABURG_NG_Michigan_Northern,ngcc,bus_395632,23.7,4.746337978,11.72,3,71.1,1659.0,23.7,4,4
KALKASKA_NG_Michigan_Northern,ngcc,bus_395632,60.5,5.089942764,29.16,3,181.5,4235.0,60.5,4,4
MIDLAND_NG_Michigan_Northern,ngcc,bus_395632,1848.6,7.822606646166666,626.1100000000001,3,5545.799999999999,129402.0,1848.6,4,4
MUIR_NG_Michigan_Southern,ngcc,bus_395632,4.8,2.297450425,1.4500000000000002,3,14.4,336.0,4.8,4,4
BAYCITY_NG_Michigan_Northern,ngcc,bus_394982,28.0,4.6040446290000006,6.82,3,84.0,1960.0,28.0,4,4
ESSEXVILLE_C_Michigan_Northern,coal,bus_394982,856.5999999999999,10.2549115995,264.61,4,2569.8,59961.99999999999,282.678,12,12
ESSEXVILLE_NG_Michigan_Northern,ngcc,bus_394982,1420.9,5.559590509666666,466.06,3,4262.700000000001,99463.0,1420.9,4,4
ZION_NG_Chicago_North_Illinois,ngcc,bus_487292,596.7,6.720378426333333,157.46,3,1790.1,41769.0,596.7,4,4
WAUKEGAN_O_Chicago_North_Illinois,oil,bus_487292,112.0,0.7739999999999999,28.55,8,336.0,7840.0,112.0,1,1
GREATLAKES_NG_Chicago_North_Illinois,ngcc,bus_487292,11.0,2.29763004,2.42,3,33.0,770.0,11.0,4,4
WAUKEGAN_C_Chicago_North_Illinois,coal,bus_487292,681.7,8.146067415,140.32,4,2045.1,47719.0,224.961,12,12
KAUKAUNA_NG_Wisconsin,ngcc,bus_487292,697.3100000000001,5.9349590752,179.72,3,2091.9300000000003,48811.7,697.3100000000001,4,4
GREENBAY_C_Wisconsin,coal,bus_487292,441.00999999999993,7.654245086285714,101.54,4,1323.0299999999995,30870.7,145.5333,12,12
SHEBOYGAN_C_Wisconsin,coal,bus_487292,833.6999999999999,14.75754888,259.0,4,2501.1,58358.99999999999,275.121,12,12
KAUKAUNA_C_Wisconsin,coal,bus_487292,12.0,11.130731756117966,5.42,4,36.0,840.0,3.96,12,12
STURTEVANT_NG_Wisconsin,ngcc,bus_487292,3.5,4.588235294,1.56,3,10.5,245.0,3.5,4,4
PLEASANTPRAIRIE_O_Wisconsin,oil,bus_487292,2.0,0.07,0.99,8,6.0,140.0,2.0,1,1
MILWAUKEE_NG_Wisconsin,ngcc,bus_487292,17.5,4.698284988,8.3,3,52.5,1225.0,17.5,4,4
WASHINGTONISLAND_O_Wisconsin,oil,bus_487292,4.98,0.0166666666666666,1.59,8,14.94,348.6,4.98,1,1
PARDEEVILLE_C_Wisconsin,coal,bus_487292,1112.0,23.87388273,218.85,4,3336.0,77840.0,366.96,12,12
WATERTOWN_NG_Wisconsin,ngcc,bus_487292,381.6,5.322453543,122.7,3,1144.8000000000002,26712.0,381.6,4,4
SHEBOYGANFALLS_NG_Wisconsin,ngcc,bus_487292,346.8,6.238076327,124.47,3,1040.4,24276.0,346.8,4,4
MILWAUKEE_O_Wisconsin,oil,bus_487292,2.7,0.0635,0.32,8,8.100000000000001,189.0,2.7,1,1
GERMANTOWN_O_Wisconsin,oil,bus_487292,245.9,1.3372,60.17,8,737.7,17213.0,245.9,1,1
TWORIVERS_O_Wisconsin,oil,bus_487292,25.0,0.786,9.53,8,75.0,1750.0,25.0,1,1
GERMANTOWN_NG_Wisconsin,ngcc,bus_487292,90.9,5.220829315,23.36,3,272.70000000000005,6363.0,90.9,4,4
OAKCREEK_C_Wisconsin,coal,bus_487292,2642.6,10.413922056666664,813.8199999999999,4,7927.799999999999,184982.0,872.058,12,12
PLEASANTPRAIRIE_C_Wisconsin,coal,bus_487292,1233.2,12.80487805,343.65,4,3699.6,86324.0,406.956,12,12
FONDDULAC_NG_Wisconsin,ngcc,bus_487292,381.6,5.26340305925,140.66,3,1144.8000000000002,26712.0,381.6,4,4
GREENBAY_NG_Wisconsin,ngcc,bus_487292,91.0,5.281204644,42.48,3,273.0,6370.0,91.0,4,4
MILWAUKEE_C_Wisconsin,coal,bus_487292,283.0,9.569971870333331,120.05,4,849.0,19810.0,93.39,12,12
WAUPUN_C_Wisconsin,coal,bus_487292,2.0,11.130731756117966,0.73,4,6.0,140.0,0.66,12,12
WAUPUN_O_Wisconsin,oil,bus_487292,2.3,0.4721112440191388,0.66,8,6.9,161.0,2.3,1,1
UNIONGROVE_NG_Wisconsin,ngcc,bus_487292,381.6,5.40147806925,131.87,3,1144.8000000000002,26712.0,381.6,4,4
COMBINEDLOCKS_NG_Wisconsin,ngcc,bus_487292,53.0,4.714973725,7.42,3,159.0,3710.0,53.0,4,4
PORTWASHINGTON_NG_Wisconsin,ngcc,bus_487292,1208.82,6.5841825856666665,288.29,3,3626.46,84617.4,1208.82,4,4
DEPERE_NG_Wisconsin,ngcc,bus_487292,192.3,6.463027875,62.12,3,576.9000000000001,13461.0,192.3,4,4
GRANDHAVEN_O_Michigan_Southern,oil,bus_409482,11.19,0.1183333333333333,4.37,8,33.57,783.3,11.19,1,1
DORR_NG_Michigan_Southern,ngcc,bus_409482,24.8,4.693724164,7.18,3,74.4,1736.0,24.8,4,4
GRANDHAVEN_C_Michigan_Southern,coal,bus_409482,80.0,8.745183044,10.48,4,240.0,5600.0,26.4,12,12
HOLLAND_C_Michigan_Southern,coal,bus_409482,62.79,8.185022641333333,13.78,4,188.37,4395.3,20.7207,12,12
LOWELL_NG_Michigan_Southern,ngcc,bus_409482,3.7,4.588003933,0.72,3,11.1,259.0,3.7,4,4
ZEELAND_NG_Michigan_Southern,ngcc,bus_409482,1002.5100000000002,3.1144521060555554,375.5,3,3007.5300000000007,70175.70000000001,1002.5100000000002,4,4
HOLLAND_NG_Michigan_Southern,ngcc,bus_409482,161.7,4.915267000666667,41.0,3,485.1,11319.0,161.7,4,4
