Bus,Fuel,Max_Cap,Heat_Rate,Min_Cap,var_om,no_load,st_cost,ramp,minup,mindown
bus_427512,oil,281.6,1.823539304469247,55.49547585227274,7.999999999999999,412.8939630681818,9634.192471590908,281.6,1,1
bus_428222,oil,139.99999999999997,0.4030467857142856,17.37237857142857,8.0,199.66585714285716,4658.869999999998,139.99999999999997,1,1
bus_428972,oil,1792.2099999999994,6.482115224615384,571.6500000000002,8.0,5376.629999999999,125454.69999999994,1792.2099999999994,1,1
bus_432062,oil,33.4,2.8033807718,8.54,8.0,100.2,2338.0,33.4,1,1
bus_432422,oil,15.409999999999997,1.8585072376,4.4700000000000015,8.0,46.22999999999998,1078.6999999999996,15.409999999999997,1,1
bus_436152,oil,28.92,0.1476666666666666,10.27,8.0,86.76,2024.4,28.92,1,1
bus_437622,oil,266.20000000000005,3.1329260300909096,49.56999999999999,8.0,798.6000000000001,18634.000000000004,266.20000000000005,1,1
bus_439652,oil,4.8,0.145,1.63,8.0,14.400000000000002,336.0,4.8,1,1
bus_441682,oil,574.7099999999999,0.9611680642780732,43.50724556732961,8.0,408.25403716657104,9525.927533886656,574.7099999999999,1,1
bus_451822,oil,281.22,1.5470200969584904,18.658571225375148,7.999999999999999,259.69204608491566,6059.481075314699,281.22,1,1
bus_462832,oil,805.8999999999999,4.9658497611,265.2,8.0,2417.7,56412.99999999999,805.8999999999999,1,1
bus_464132,oil,33.02,0.0648298001211387,4.3598606904906125,8.0,41.383682616596005,965.6192610539068,33.02,1,1
bus_464522,oil,76.06,0.070658690507494,4.243331580331318,8.0,49.43834341309493,1153.5613463055483,76.06,1,1
bus_465042,oil,24.0,0.6609999999999999,6.03,8.0,72.0,1680.0,24.0,1,1
bus_467262,oil,39.84,0.0770371485943775,4.316626506024097,8.0,43.64403614457832,1018.360843373494,39.84,1,1
bus_467322,oil,31.890000000000004,0.1180442144873,8.262558795860771,7.999999999999999,71.58386641580434,1670.2902163687677,31.890000000000004,1,1
bus_487292,oil,2370.6800000000003,5.823810762966954,247.9762216747937,7.999999999999999,2871.502400661413,67001.72268209964,2370.6800000000003,1,1
bus_493092,oil,32.71,0.1785636273310914,2.9824763069397737,8.0,28.660418832161422,668.7431060837664,32.71,1,1
bus_508332,oil,321.79,0.487101583556009,22.20657198794245,8.0,240.7494648683925,5617.487513595825,321.79,1,1
bus_511692,oil,171.5,1.7396786755518536,45.27769679300292,8.0,342.1093294460642,7982.551020408164,171.5,1,1
bus_514452,oil,716.1500000000001,0.7725961938689262,195.7795704810445,8.0,2121.2642115478607,49496.16493611675,716.1500000000001,1,1
bus_514682,oil,220.0,1.1531115234092422,21.125331818181824,8.0,257.73190909090914,6013.744545454546,220.0,1,1
bus_518942,oil,838.31,1.41480390711462,21.864967016974624,8.0,270.91187639417404,6321.277115864061,838.31,1,1
bus_540002,oil,1585.73,4.763912731833006,171.58141297698853,8.0,1567.5388982361442,36575.90762551002,1585.73,1,1
bus_550272,oil,1241.7899999999995,1.1645359743884935,88.28237302603502,8.000000000000002,825.3990812456216,19259.311895731174,1241.7899999999995,1,1
bus_553242,oil,189.56,0.2027500426126669,6.931323591474996,7.999999999999999,78.06558029120067,1821.5302067946825,189.56,1,1
bus_558182,oil,8.3,0.0560692771084337,1.303734939759036,7.999999999999999,13.40602409638554,312.8072289156626,8.3,1,1
bus_564862,oil,64.98,1.2026181132656202,18.015734072022155,8.0,117.99706371191134,2753.264819944597,64.98,1,1
bus_565312,oil,28.0,0.0562857142857142,7.6099999999999985,8.0,84.0,1960.0,28.0,1,1
bus_567842,oil,10.6,0.071,2.4000000000000004,8.0,31.8,742.0,10.6,1,1
bus_571992,oil,6.5,0.0304166666666666,1.74,8.0,19.5,455.0,6.5,1,1
bus_579022,oil,109.94,0.3120256442305904,6.478162634164089,8.0,56.23960342004729,1312.257413134437,109.94,1,1
bus_582102,oil,1468.84,4.416986305216991,474.04936997903104,8.0,3361.772458266387,78441.35735954903,1468.84,1,1
bus_584872,oil,22.51,0.0389619428402191,3.864202576632609,8.0,41.38002221235006,965.5338516215016,22.51,1,1
bus_597732,oil,12.299999999999995,0.0247777777777777,4.1,8.0,36.899999999999984,860.9999999999997,12.299999999999995,1,1
bus_602622,oil,165.9,1.1407656062970917,38.80544906570223,8.0,392.1665461121158,9150.552742616032,165.9,1,1
bus_602672,oil,60.0,1.7765,19.219999999999995,8.0,180.0,4200.0,60.0,1,1
bus_611132,oil,1707.3,9.927440171,514.04,8.0,5121.9,119511.0,1707.3,1,1
bus_622022,oil,33.42,0.6248620589166453,4.752351885098744,8.0,41.44104129263915,966.95763016158,33.42,1,1
bus_632672,oil,364.4,1.4080060771111114,70.95,8.0,1093.1999999999996,25508.0,364.4,1,1
bus_635272,oil,95.99,0.0669963016980935,10.479109282216896,7.999999999999999,109.70281800187516,2559.732420043754,95.99,1,1
bus_654662,oil,21.500000000000004,1.20486077475,6.69,8.0,64.50000000000001,1505.0000000000002,21.500000000000004,1,1
bus_658492,oil,8.72,0.0605,2.25,8.0,26.160000000000004,610.4000000000002,8.72,1,1
bus_671412,oil,8.5,0.0280714285714285,2.43,8.0,25.5,595.0,8.5,1,1
bus_677022,oil,119.34,0.7009219928355959,6.191682587564941,8.000000000000002,92.23691804927104,2152.19475448299,119.34,1,1
bus_677472,oil,1497.2899999999993,7.290298460902792,238.0035592303429,8.0,4094.7008300997127,95543.01936899326,1497.2899999999993,1,1
